method,env,seed,success_rate_pct,fps
leiden-si2e,MiniGrid-DoorKey-8x8-v0,1,100.00,1201
leiden-si2e,MiniGrid-DoorKey-8x8-v0,2,100.00,1229
leiden-si2e,MiniGrid-DoorKey-8x8-v0,3,100.00,1290
infomap-si2e,MiniGrid-DoorKey-8x8-v0,2,100.00,1176
infomap-si2e,MiniGrid-DoorKey-8x8-v0,1,98.50,1185
infomap-si2e,MiniGrid-DoorKey-8x8-v0,3,100.00,1972
leiden-si2e,MiniGrid-KeyCorridorS3R2-v0,1,75.50,1399
leiden-si2e,MiniGrid-KeyCorridorS3R2-v0,2,100.00,1510
leiden-si2e,MiniGrid-KeyCorridorS3R2-v0,3,100.00,1552
infomap-si2e,MiniGrid-KeyCorridorS3R2-v0,1,87.50,1381
infomap-si2e,MiniGrid-KeyCorridorS3R2-v0,2,100.00,1382
infomap-si2e,MiniGrid-KeyCorridorS3R2-v0,3,99.50,2147
